word,translation,pronunciation,category,example,exampleTranslation
le vêtement,clothing,/lə vɛtˈmɑ̃/,Les Vêtements - Clothing,Le vêtement préféré de Marie est la robe élégante.,Marie’s favorite clothing is the elegant dress.
la chemise,shirt,/la ʃəˈmiz/,Les Vêtements - Clothing,J’achète la chemise et le pantalon pour l’école.,I buy the shirt and pants for school.
le pantalon,pants,/lə pɑ̃taˈlɔ̃/,Les Vêtements - Clothing,J’achète la chemise et le pantalon pour l’école.,I buy the shirt and pants for school.
la robe,dress,/la ʁɔb/,Les Vêtements - Clothing,Le vêtement préféré de Marie est la robe élégante.,Marie’s favorite clothing is the elegant dress.
la chaussure,shoe,/la ʃoˈsyːʁ/,Les Vêtements - Clothing,Elle porte la robe et la chaussure pour la fête.,She wears the dress and shoes for the party.
le chapeau,hat,/lə ʃaˈpo/,Les Vêtements - Clothing,L’écharpe protège du froid avec le chapeau.,The scarf protects from the cold with the hat.
l’écharpe,scarf,/leˈʃaʁp/,Les Vêtements - Clothing,L’écharpe protège du froid avec le chapeau.,The scarf protects from the cold with the hat.
la veste,jacket,/la vɛst/,Les Vêtements - Clothing,La chaussure va bien avec la veste en cuir.,The shoe goes well with the leather jacket.
Crée ton avenir,Create your future,/kʁe.e.tɔ̃.na.və.niʁ/,Les Vêtements - Clothing (Phrases),Crée ton avenir avec détermination et espoir.,Create your future with determination and hope.
Crée quelque chose,Create something,/kʁe.e.kɛl.kə.ʃoz/,Les Vêtements - Clothing (Phrases),Chaque jour, essaie de crée quelque chose de nouveau.,Every day, try to create something new.
Crée avec amour,Create with love,/kʁe.e.a.vɛk.a.muʁ/,Les Vêtements - Clothing (Phrases),Crée avec amour pour donner plus de sens à ton travail.,Create with love to give more meaning to your work.
Crée sans fin,Create endlessly,/kʁe.e.sɑ̃.fɛ̃/,Les Vêtements - Clothing (Phrases),L’artiste inspire et crée sans fin.,The artist inspires and creates endlessly.
Crée ton art,Create your art,/kʁe.e.tɔ̃.naʁ/,Les Vêtements - Clothing (Phrases),N’aie pas peur, crée ton art unique.,Don’t be afraid, create your unique art.
Crée des souvenirs,Create memories,/kʁe.e.de.su.və.niʁ/,Les Vêtements - Clothing (Phrases),Voyage pour crée des souvenirs inoubliables.,Travel to create unforgettable memories.
Crée une histoire,Create a story,/kʁe.e.yn.is.twaʁ/,Les Vêtements - Clothing (Phrases),Chaque vie crée une histoire différente.,Every life creates a different story.
Crée ton style,Create your style,/kʁe.e.tɔ̃.stil/,Les Vêtements - Clothing (Phrases),Exprime-toi et crée ton style.,Express yourself and create your style.
