word,translation,pronunciation,category,example,exampleTranslation
le sport,sport,/lə spɔːʁ/,Les Sports - Sports  ,Le sport se joue sur le terrain avec le ballon.,The sport is played on the field with the ball.
le ballon,ball,/lə baˈlɔ̃/,Les Sports - Sports  ,Le sport se joue sur le terrain avec le ballon.,The sport is played on the field with the ball.
le terrain,field,/lə tɛˈʁɛ̃/,Les Sports - Sports  ,Je roule le vélo autour du terrain.,I ride the bicycle around the field.
la piscine,swimming pool,/la piˈsin/,Les Sports - Sports  ,La piscine accueille l’équipe pour le match.,The swimming pool hosts the team for the match.
le vélo,bicycle,/lə veˈlo/,Les Sports - Sports  ,Je roule le vélo autour du terrain.,I ride the bicycle around the field.
le match,match,/lə matʃ/,Les Sports - Sports  ,Le but est marqué pendant le match.,The goal is scored during the match.
l’équipe,team,/leˈkip/,Les Sports - Sports  ,La piscine accueille l’équipe pour le match.,The swimming pool hosts the team for the match.
le but,goal,/lə by/,Les Sports - Sports  ,Le but est marqué pendant le match.,The goal is scored during the match.
Aime sincèrement,Love sincerely,/ɛm.sɛ̃.sɛʁ.mɑ̃/,Les Sports - Sports (Phrases),Aime sincèrement et tu recevras le même en retour.,Love sincerely and you will receive the same in return.
Aime sans condition,Love unconditionally,/ɛm.sɑ̃.kɔ̃.di.sjɔ̃/,Les Sports - Sports (Phrases),Les parents aime sans condition leurs enfants.,Parents love their children unconditionally.
Aime la vie,Love life,/ɛm.la.vi/,Les Sports - Sports (Phrases),Aime la vie avec tout ce qu’elle t’apporte.,Love life with everything it brings you.
Aime avec passion,Love with passion,/ɛm.a.vɛk.pa.sjɔ̃/,Les Sports - Sports (Phrases),Il faut aime avec passion ce que tu fais.,You must love with passion what you do.
Aime en secret,Love in secret,/ɛm.ɑ̃.sə.ɡʁɛ/,Les Sports - Sports (Phrases),Elle aime en secret depuis longtemps.,She has loved in secret for a long time.
Aime comme jamais,Love like never before,/ɛm.kɔm.ʒa.mɛ/,Les Sports - Sports (Phrases),Aime comme jamais et profite du moment présent.,Love like never before and enjoy the present moment.
Aime chaque instant,Love every moment,/ɛm.ʃak.ɛ̃s.tɑ̃/,Les Sports - Sports (Phrases),Aime chaque instant de ta vie.,Love every moment of your life.
Aime avec tendresse,Love with tenderness,/ɛm.a.vɛk.tɑ̃.dʁɛs/,Les Sports - Sports (Phrases),Aime avec tendresse et douceur.,Love with tenderness and gentleness.
