word,translation,pronunciation,category,example,exampleTranslation
le métier,profession,/lə meˈtje/,Les Métiers - Professions  ,Le métier de le médecin est important pour la santé.,The profession of doctor is important for health.
le médecin,doctor,/lə medˈsɛ̃/,Les Métiers - Professions  ,Le métier de le médecin est important pour la santé.,The profession of doctor is important for health.
l’enseignant,teacher (male),/lɑ̃seˈɲɑ̃/,Les Métiers - Professions  ,L’enseignant et l’infirmier travaillent avec le cuisinier.,The teacher and nurse work with the chef.
l’infirmier,nurse (male),/lɛ̃fiʁˈmje/,Les Métiers - Professions  ,L’enseignant et l’infirmier travaillent avec le cuisinier.,The teacher and nurse work with the chef.
le cuisinier,chef,/lə kɥiziˈnje/,Les Métiers - Professions  ,Le cuisinier apprend des techniques de l’enseignant.,The chef learns techniques from the teacher.
l’ingénieur,engineer,/lɛ̃ʒeˈnjœːʁ/,Les Métiers - Professions  ,L’ingénieur collabore avec le vendeur sur un projet.,The engineer collaborates with the salesperson on a project.
le pompier,firefighter,/lə pɔ̃ˈpje/,Les Métiers - Professions  ,Le pompier sauve des vies, tout comme le médecin.,The firefighter saves lives, just like the doctor.
le vendeur,salesperson,/lə vɑ̃ˈdœːʁ/,Les Métiers - Professions  ,L’ingénieur collabore avec le vendeur sur un projet.,The engineer collaborates with the salesperson on a project.
Voyage avec audace,Travel with boldness,/vwa.jaʒ.a.vɛk.o.das/,Les Métiers - Professions (Phrases),Voyage avec audace pour vivre des expériences uniques.,Travel with boldness to live unique experiences.
Voyage vers l’inconnu,Travel toward the unknown,/vwa.jaʒ.vɛʁ.lɛ̃.kɔ.ny/,Les Métiers - Professions (Phrases),Il aime voyage vers l’inconnu pour découvrir le monde.,He likes to travel toward the unknown to discover the world.
Voyage en solitude,Travel in solitude,/vwa.jaʒ.ɑ̃.sɔ.li.tyd/,Les Métiers - Professions (Phrases),Parfois, voyage en solitude pour mieux te retrouver.,Sometimes, travel in solitude to find yourself better.
Voyage sans fin,Travel endlessly,/vwa.jaʒ.sɑ̃.fɛ̃/,Les Métiers - Professions (Phrases),Les rêves te font voyage sans fin.,Dreams make you travel endlessly.
Voyage dans le temps,Travel through time,/vwa.jaʒ.dɑ̃.lə.tɑ̃/,Les Métiers - Professions (Phrases),En lisant un livre, tu peux voyage dans le temps.,By reading a book, you can travel through time.
Voyage avec légèreté,Travel with lightness,/vwa.jaʒ.a.vɛk.le.ʒɛʁ.te/,Les Métiers - Professions (Phrases),Voyage avec légèreté et profite de chaque instant.,Travel with lightness and enjoy every moment.
Voyage pour découvrir,Travel to discover,/vwa.jaʒ.puʁ.de.ku.vʁiʁ/,Les Métiers - Professions (Phrases),Voyage pour découvrir de nouvelles cultures.,Travel to discover new cultures.
Voyage sous les cieux,Travel under the skies,/vwa.jaʒ.su.le.sjø/,Les Métiers - Professions (Phrases),Ils adorent voyage sous les cieux étoilés.,They love to travel under the starry skies.
