word,translation,pronunciation,category,example,exampleTranslation
la musique,music,/la myˈzik/,La Musique - Music  ,La musique du piano remplit le concert.,The music from the piano fills the concert.
le piano,piano,/lə pjaˈno/,La Musique - Music  ,La musique du piano remplit le concert.,The music from the piano fills the concert.
la guitare,guitar,/la ɡiˈtaːʁ/,La Musique - Music  ,La guitare joue la chanson avec un bon rythme.,The guitar plays the song with a good rhythm.
le violon,violin,/lə vjoˈlɔ̃/,La Musique - Music  ,Le violon produit une belle note dans la musique.,The violin produces a beautiful note in the music.
la chanson,song,/la ʃɑ̃ˈsɔ̃/,La Musique - Music  ,Le concert présente la chanson sur le piano.,The concert presents the song on the piano.
le concert,concert,/lə kɔ̃ˈsɛːʁ/,La Musique - Music  ,Le concert présente la chanson sur le piano.,The concert presents the song on the piano.
la note,note,/la nɔt/,La Musique - Music  ,Le violon produit une belle note dans la musique.,The violin produces a beautiful note in the music.
le rythme,rhythm,/lə ʁitm/,La Musique - Music  ,La note de la guitare suit le rythme.,The note from the guitar follows the rhythm.
Imagine l’infini,Imagine the infinite,/i.ma.ʒin.lɛ̃.fi.ni/,La Musique - Music (Phrases),Ferme les yeux et imagine l’infini.,Close your eyes and imagine the infinite.
Imagine un futur,Imagine a future,/i.ma.ʒin.œ̃.fy.tyʁ/,La Musique - Music (Phrases),Imagine un futur rempli d’espoir.,Imagine a future full of hope.
Imagine avec audace,Imagine with boldness,/i.ma.ʒin.a.vɛk.o.das/,La Musique - Music (Phrases),Pour créer, imagine avec audace.,To create, imagine with boldness.
Imagine sans frontières,Imagine without borders,/i.ma.ʒin.sɑ̃.fʁɔ̃.tjɛʁ/,La Musique - Music (Phrases),Imagine sans frontières pour rêver grand.,Imagine without borders to dream big.
Imagine la paix,Imagine peace,/i.ma.ʒin.la.pɛ/,La Musique - Music (Phrases),Tout le monde aspire à imagine la paix.,Everyone aspires to imagine peace.
Imagine un voyage,Imagine a journey,/i.ma.ʒin.œ̃.vwa.jaʒ/,La Musique - Music (Phrases),Chaque enfant aime imagine un voyage extraordinaire.,Every child loves to imagine an extraordinary journey.
Imagine en couleurs,Imagine in colors,/i.ma.ʒin.ɑ̃.ku.lœʁ/,La Musique - Music (Phrases),Pour rêver, imagine en couleurs vives.,To dream, imagine in bright colors.
Imagine ton bonheur,Imagine your happiness,/i.ma.ʒin.tɔ̃.bɔ.nœʁ/,La Musique - Music (Phrases),Imagine ton bonheur et poursuis-le.,Imagine your happiness and pursue it.
