word,translation,pronunciation,category,example,exampleTranslation
la ville,city,/la vil/,La Ville - City  ,La ville est connue pour la place centrale animée.,The city is known for its lively central square.
la rue,street,/la ʁy/,La Ville - City  ,La rue près de la boutique est toujours bondée.,The street near the shop is always crowded.
le bâtiment,building,/lə baˈtimɑ̃/,La Ville - City  ,Le bâtiment domine le parc avec sa hauteur.,The building towers over the park with its height.
la boutique,shop,/la buˈtik/,La Ville - City  ,La rue près de la boutique est toujours bondée.,The street near the shop is always crowded.
le parc,park,/lə paʁk/,La Ville - City  ,Le bâtiment domine le parc avec sa hauteur.,The building towers over the park with its height.
le métro,subway,/lə meˈtʁo/,La Ville - City  ,Le métro passe sous le pont chaque matin.,The subway passes under the bridge every morning.
le pont,bridge,/lə pɔ̃/,La Ville - City  ,Le métro passe sous le pont chaque matin.,The subway passes under the bridge every morning.
la place,square,/la plas/,La Ville - City  ,La place accueille un marché près de la rue.,The square hosts a market near the street.
Ose briller,Dare to shine,/oz.bʁi.je/,La Ville - City (Phrases),N’aie pas peur, ose briller devant le monde.,Don’t be afraid, dare to shine before the world.
Ose changer,Dare to change,/oz.ʃɑ̃.ʒe/,La Ville - City (Phrases),Pour réussir, il faut ose changer ses habitudes.,To succeed, you must dare to change your habits.
Ose tout,Dare everything,/oz.tu/,La Ville - City (Phrases),Quand tu crois en toi, tu peux ose tout.,When you believe in yourself, you can dare everything.
Ose être toi,Dare to be yourself,/oz.ɛ.tʁə.twa/,La Ville - City (Phrases),La liberté commence quand tu ose être toi.,Freedom begins when you dare to be yourself.
Ose avancer,Dare to move forward,/oz.a.vɑ̃.se/,La Ville - City (Phrases),Même après un échec, ose avancer sans peur.,Even after failure, dare to move forward without fear.
Ose défier,Dare to challenge,/oz.de.fje/,La Ville - City (Phrases),Ose défier tes limites pour grandir.,Dare to challenge your limits to grow.
Ose espérer,Dare to hope,/oz.ɛs.pe.ʁe/,La Ville - City (Phrases),Même dans la nuit, ose espérer un nouvel avenir.,Even in the night, dare to hope for a new future.
Ose tenter,Dare to try,/oz.tɑ̃.te/,La Ville - City (Phrases),N’hésite pas, ose tenter ta chance.,Don’t hesitate, dare to try your luck.
