word,translation,pronunciation,category,example,exampleTranslation
la nature,nature,/la naˈtyːʁ/,La Nature - Nature  ,La nature est belle avec la fleur et l’arbre.,Nature is beautiful with the flower and the tree.
l’arbre,tree,/laʁbʁ/,La Nature - Nature  ,L’arbre dans la forêt est éclairé par le soleil.,The tree in the forest is lit by the sun.
la fleur,flower,/la flœːʁ/,La Nature - Nature  ,La fleur pousse dans la nature près de la rivière.,The flower grows in nature near the river.
le ciel,sky,/lə sjɛl/,La Nature - Nature  ,La rivière coule près de la montagne sous le ciel.,The river flows near the mountain under the sky.
la rivière,river,/la ʁiˈvjɛːʁ/,La Nature - Nature  ,La rivière coule près de la montagne sous le ciel.,The river flows near the mountain under the sky.
la montagne,mountain,/la mɔ̃ˈtaɲ/,La Nature - Nature  ,La rivière coule près de la montagne sous le ciel.,The river flows near the mountain under the sky.
le soleil,sun,/lə sɔˈlɛj/,La Nature - Nature  ,Le soleil brille sur la forêt chaque matin.,The sun shines on the forest every morning.
la forêt,forest,/la fɔˈʁɛ/,La Nature - Nature  ,L’arbre dans la forêt est éclairé par le soleil.,The tree in the forest is lit by the sun.
Vis pleinement,Live fully,/vis.plɛn.mɑ̃/,La Nature - Nature (Phrases),Vis pleinement chaque moment de ta vie.,Live fully every moment of your life.
Vis l’instant,Live in the moment,/vis.lɛ̃s.tɑ̃/,La Nature - Nature (Phrases),Il faut apprendre à vis l’instant sans crainte.,You must learn to live in the moment without fear.
Vis avec joie,Live with joy,/vis.a.vɛk.ʒwa/,La Nature - Nature (Phrases),Vis avec joie et partage ton bonheur.,Live with joy and share your happiness.
Vis sans regrets,Live without regrets,/vis.sɑ̃.ʁə.ɡʁɛ/,La Nature - Nature (Phrases),Il est important de vis sans regrets.,It is important to live without regrets.
Vis pour aimer,Live to love,/vis.puʁ.e.me/,La Nature - Nature (Phrases),Nous devrions tous vis pour aimer.,We should all live to love.
Vis ta vérité,Live your truth,/vis.ta.ve.ʁi.te/,La Nature - Nature (Phrases),N’aie pas peur de vis ta vérité.,Do not be afraid to live your truth.
Vis en liberté,Live in freedom,/vis.ɑ̃.li.bɛʁ.te/,La Nature - Nature (Phrases),Chaque être humain mérite de vis en liberté.,Every human being deserves to live in freedom.
Vis chaque jour,Live every day,/vis.ʃak.ʒuʁ/,La Nature - Nature (Phrases),Vis chaque jour comme si c’était le dernier.,Live every day as if it were the last.
