word,translation,pronunciation,category,example,exampleTranslation
l’école,school,/leˈkɔl/,L’École - School  ,L’école a une nouvelle classe avec le tableau.,The school has a new classroom with the blackboard.
la classe,classroom,/la klas/,L’École - School  ,L’école a une nouvelle classe avec le tableau.,The school has a new classroom with the blackboard.
le bureau,desk,/lə byˈʁo/,L’École - School  ,Le bureau dans la classe a un crayon.,The desk in the classroom has a pencil.
le tableau,blackboard,/lə taˈblo/,L’École - School  ,L’école a une nouvelle classe avec le tableau.,The school has a new classroom with the blackboard.
le crayon,pencil,/lə kʁɛˈjɔ̃/,L’École - School  ,Le crayon est sur le bureau près de la règle.,The pencil is on the desk next to the ruler.
la règle,ruler,/la ʁɛɡl/,L’École - School  ,La règle est utilisée avec le sac à l’école.,The ruler is used with the backpack at school.
le sac,backpack,/lə sak/,L’École - School  ,La règle est utilisée avec le sac à l’école.,The ruler is used with the backpack at school.
l’horloge,clock,/lɔˈʁlɔʒ/,L’École - School  ,L’horloge indique l’heure dans la classe.,The clock shows the time in the classroom.
Partage ton sourire,Share your smile,/paʁ.taʒ.tɔ̃.su.ʁiʁ/,L’École - School (Phrases),Toujours partage ton sourire avec le monde.,Always share your smile with the world.
Partage tes idées,Share your ideas,/paʁ.taʒ.tez.i.de/,L’École - School (Phrases),N’aie pas peur de partage tes idées en classe.,Don’t be afraid to share your ideas in class.
Partage avec générosité,Share with generosity,/paʁ.taʒ.a.vɛk.ʒe.ne.ʁo.zi.te/,L’École - School (Phrases),Partage avec générosité pour inspirer les autres.,Share with generosity to inspire others.
Partage un moment,Share a moment,/paʁ.taʒ.œ̃.mo.mɑ̃/,L’École - School (Phrases),Partage un moment de bonheur avec ta famille.,Share a happy moment with your family.
Partage la joie,Share the joy,/paʁ.taʒ.la.ʒwa/,L’École - School (Phrases),Partage la joie pour rendre la journée plus belle.,Share the joy to make the day brighter.
Partage tes talents,Share your talents,/paʁ.taʒ.te.ta.lɑ̃/,L’École - School (Phrases),Partage tes talents pour aider la communauté.,Share your talents to help the community.
Partage en toute simplicité,Share with complete simplicity,/paʁ.taʒ.ɑ̃.tut.sɛ̃.pli.si.te/,L’École - School (Phrases),Partage en toute simplicité ce que tu as.,Share with complete simplicity what you have.
Partage un repas,Share a meal,/paʁ.taʒ.œ̃.ʁə.pa/,L’École - School (Phrases),Nous aimons partage un repas entre amis.,We like to share a meal with friends.
