word,translation,pronunciation,category,example,exampleTranslation
le loisir,hobby,/lə lwaˈziːʁ/,Les Loisirs - Hobbies,Le loisir préféré de mon ami est la musique.,My friend’s favorite hobby is music.
le sport,sport,/lə spɔːʁ/,Les Loisirs - Hobbies,Le sport et la danse sont populaires au cinéma.,Sports and dance are popular in cinema.
la musique,music,/la myˈzik/,Les Loisirs - Hobbies,Le loisir préféré de mon ami est la musique.,My friend’s favorite hobby is music.
la lecture,reading,/la lɛkˈtyːʁ/,Les Loisirs - Hobbies,La lecture d’un livre est un bon jeu pour les enfants.,Reading a book is a good game for children.
le cinéma,cinema,/lə siˈnema/,Les Loisirs - Hobbies,Je vais au cinéma après avoir fini la lecture.,I go to the cinema after finishing reading.
le jeu,game,/lə ʒø/,Les Loisirs - Hobbies,La lecture d’un livre est un bon jeu pour les enfants.,Reading a book is a good game for children.
la danse,dance,/la dɑ̃s/,Les Loisirs - Hobbies,Le sport et la danse sont populaires au cinéma.,Sports and dance are popular in cinema.
la peinture,painting,/la pɛ̃ˈtyːʁ/,Les Loisirs - Hobbies,La peinture et la musique inspirent beaucoup de gens.,Painting and music inspire many people.
Danse lentement,Dance slowly,/dɑ̃s.lɑ̃t.mɑ̃/,Les Loisirs - Hobbies (Phrases),Danse lentement pendant la musique douce.,Dance slowly during soft music.
Danse avec passion,Dance with passion,/dɑ̃s.a.vɛk.pa.sjɔ̃/,Les Loisirs - Hobbies (Phrases),Danse avec passion au cinéma.,Dance with passion at the cinema.
Danse sous les étoiles,Dance under the stars,/dɑ̃s.su.lez.e.twal/,Les Loisirs - Hobbies (Phrases),Danse sous les étoiles après la lecture.,Dance under the stars after reading.
Danse comme personne,Dance like nobody’s watching,/dɑ̃s.kɔm.pɛʁ.sɔn/,Les Loisirs - Hobbies (Phrases),Danse comme personne pendant le loisir.,Dance like nobody’s watching during the hobby.
Danse en rythme,Dance in rhythm,/dɑ̃s.ɑ̃.ʁit.mə/,Les Loisirs - Hobbies (Phrases),Danse en rythme avec la musique.,Dance in rhythm with the music.
Danse sans peur,Dance without fear,/dɑ̃s.sɑ̃.pœʁ/,Les Loisirs - Hobbies (Phrases),Danse sans peur lors de la soirée jeu.,Dance without fear during the game night.
Danse toute la journée,Dance all day,/dɑ̃s.tut.la.ʒuʁ.ne/,Les Loisirs - Hobbies (Phrases),Danse toute la journée pour le sport.,Dance all day for the sport.
Danse avec grâce,Dance with grace,/dɑ̃s.a.vɛk.ɡʁas/,Les Loisirs - Hobbies (Phrases),Danse avec grâce dans la peinture.,Dance with grace in the painting.
