word,translation,pronunciation,category,example,exampleTranslation
la couleur,color,/la kuˈlœːʁ/,Les Couleurs - Colors  ,La couleur préférée de la robe est le rouge.,The favorite color of the dress is red.
le rouge,red,/lə ʁuːʒ/,Les Couleurs - Colors  ,La couleur le rouge domine dans la peinture.,The color red dominates in the painting.
le bleu,blue,/lə blø/,Les Couleurs - Colors  ,Le bleu du ciel va bien avec le vert des arbres.,The blue of the sky goes well with the green of the trees.
le vert,green,/lə vɛːʁ/,Les Couleurs - Colors  ,Le bleu du ciel va bien avec le vert des arbres.,The blue of the sky goes well with the green of the trees.
le jaune,yellow,/lə ʒon/,Les Couleurs - Colors  ,J’aime le jaune des fleurs et le blanc des murs.,I love the yellow of flowers and the white of walls.
le blanc,white,/lə blɑ̃/,Les Couleurs - Colors  ,J’aime le jaune des fleurs et le blanc des murs.,I love the yellow of flowers and the white of walls.
le noir,black,/lə nwaːʁ/,Les Couleurs - Colors  ,Le noir de la voiture contraste avec le rose des fleurs.,The black of the car contrasts with the pink of flowers.
le rose,pink,/lə ʁoz/,Les Couleurs - Colors  ,Le noir de la voiture contraste avec le rose des fleurs.,The black of the car contrasts with the pink of flowers.
Cherche la vérité,Search for the truth,/ʃɛʁʃ.la.ve.ʁi.te/,Les Couleurs - Colors (Phrases),Toujours cherche la vérité dans chaque situation.,Always search for the truth in every situation.
Cherche ton chemin,Search for your path,/ʃɛʁʃ.tɔ̃.ʃə.mɛ̃/,Les Couleurs - Colors (Phrases),Avec courage, cherche ton chemin dans la vie.,With courage, search for your path in life.
Cherche l’inspiration,Search for inspiration,/ʃɛʁʃ.lɛ̃s.pi.ʁa.sjɔ̃/,Les Couleurs - Colors (Phrases),L’artiste cherche l’inspiration dans la nature.,The artist searches for inspiration in nature.
Cherche avec patience,Search with patience,/ʃɛʁʃ.a.vɛk.pa.sjɑ̃s/,Les Couleurs - Colors (Phrases),Pour réussir, cherche avec patience et persévérance.,To succeed, search with patience and perseverance.
Cherche dans ton cœur,Search in your heart,/ʃɛʁʃ.dɑ̃.tɔ̃.kœʁ/,Les Couleurs - Colors (Phrases),Quand tu es perdu, cherche dans ton cœur.,When you are lost, search in your heart.
Cherche l’aventure,Search for adventure,/ʃɛʁʃ.la.vɑ̃.tyʁ/,Les Couleurs - Colors (Phrases),Voyage et cherche l’aventure partout.,Travel and search for adventure everywhere.
Cherche le bonheur,Search for happiness,/ʃɛʁʃ.lə.bɔ.nœʁ/,Les Couleurs - Colors (Phrases),Cherche le bonheur dans les petites choses.,Search for happiness in little things.
Cherche sans relâche,Search relentlessly,/ʃɛʁʃ.sɑ̃.ʁə.lɑʃ/,Les Couleurs - Colors (Phrases),Il faut cherche sans relâche pour atteindre ses rêves.,You must search relentlessly to achieve your dreams.
