word,translation,pronunciation,category,example,exampleTranslation
la saison,season,/la sɛˈzɔ̃/,Les Saisons - Seasons  ,La saison préférée est le printemps avec le soleil.,The favorite season is spring with the sun.
le printemps,spring,/lə pʁɛ̃ˈtɑ̃/,Les Saisons - Seasons  ,La saison préférée est le printemps avec le soleil.,The favorite season is spring with the sun.
l’été,summer,/leˈte/,Les Saisons - Seasons  ,L’été est chaud, mais la pluie arrive parfois.,Summer is hot, but rain comes sometimes.
l’automne,autumn,/loˈtɔn/,Les Saisons - Seasons  ,L’automne apporte des feuilles et la neige suit en hiver.,Autumn brings leaves, and snow follows in winter.
l’hiver,winter,/liˈvɛːʁ/,Les Saisons - Seasons  ,La neige couvre le sol en hiver.,Snow covers the ground in winter.
la neige,snow,/la nɛːʒ/,Les Saisons - Seasons  ,La neige couvre le sol en hiver.,Snow covers the ground in winter.
le soleil,sun,/lə sɔˈlɛj/,Les Saisons - Seasons  ,Le soleil brille fort pendant l’été.,The sun shines brightly during summer.
la pluie,rain,/la plɥi/,Les Saisons - Seasons  ,L’été est chaud, mais la pluie arrive parfois.,Summer is hot, but rain comes sometimes.
Écris ton histoire,Write your story,/e.kʁi.tɔ̃.nis.twaʁ/,Les Saisons - Seasons (Phrases),Écris ton histoire avec courage et inspiration.,Write your story with courage and inspiration.
Écris avec soin,Write with care,/e.kʁi.a.vɛk.swɛ̃/,Les Saisons - Seasons (Phrases),Toujours prends le temps d’écris avec soin.,Always take the time to write with care.
Écris tes pensées,Write your thoughts,/e.kʁi.te.pɑ̃.se/,Les Saisons - Seasons (Phrases),Chaque soir, écris tes pensées dans un journal.,Every evening, write your thoughts in a journal.
Écris un poème,Write a poem,/e.kʁi.œ̃.pɔ.ɛm/,Les Saisons - Seasons (Phrases),Elle aime écris un poème quand elle est inspirée.,She likes to write a poem when she is inspired.
Écris la vérité,Write the truth,/e.kʁi.la.ve.ʁi.te/,Les Saisons - Seasons (Phrases),N’aie pas peur, écris la vérité.,Don’t be afraid, write the truth.
Écris sans peur,Write without fear,/e.kʁi.sɑ̃.pœʁ/,Les Saisons - Seasons (Phrases),Écris sans peur ce que tu ressens.,Write without fear what you feel.
Écris pour toi,Write for yourself,/e.kʁi.puʁ.twa/,Les Saisons - Seasons (Phrases),Parfois il est important d’écris pour toi seul.,Sometimes it’s important to write for yourself alone.
Écris sous les étoiles,Write under the stars,/e.kʁi.su.lez.e.twal/,Les Saisons - Seasons (Phrases),Ils aiment écris sous les étoiles pendant l’été.,They like to write under the stars during summer.
