word,translation,pronunciation,category,example,exampleTranslation
l’émotion,emotion,/lemoˈsjɔ̃/,Les Émotions - Emotions  ,L’émotion de la joie remplit la fête.,The emotion of joy fills the party.
la joie,joy,/la ʒwa/,Les Émotions - Emotions  ,L’amour et la joie sont des émotions fortes.,Love and joy are strong emotions.
la tristesse,sadness,/la tʁisˈtɛs/,Les Émotions - Emotions  ,La tristesse suit parfois la peur dans la nuit.,Sadness sometimes follows fear in the night.
la peur,fear,/la pœːʁ/,Les Émotions - Emotions  ,La tristesse suit parfois la peur dans la nuit.,Sadness sometimes follows fear in the night.
la colère,anger,/la kɔˈlɛːʁ/,Les Émotions - Emotions  ,La colère peut cacher l’amour véritable.,Anger can hide true love.
l’amour,love,/laˈmuːʁ/,Les Émotions - Emotions  ,L’amour et la joie sont des émotions fortes.,Love and joy are strong emotions.
la surprise,surprise,/la syʁˈpʁiz/,Les Émotions - Emotions  ,La surprise apporte le bonheur à l’anniversaire.,The surprise brings happiness to the birthday.
le bonheur,happiness,/lə bɔˈnœːʁ/,Les Émotions - Emotions  ,La surprise apporte le bonheur à l’anniversaire.,The surprise brings happiness to the birthday.
Souris à la vie,Smile at life,/su.ʁi.a.la.vi/,Les Émotions - Emotions (Phrases),Chaque jour, souris à la vie avec optimisme.,Each day, smile at life with optimism.
Souris sans raison,Smile without reason,/su.ʁi.sɑ̃.ʁɛ.zɔ̃/,Les Émotions - Emotions (Phrases),Parfois il est bon de souris sans raison.,Sometimes it’s good to smile without reason.
Souris avec éclat,Smile brightly,/su.ʁi.a.vɛk.e.kla/,Les Émotions - Emotions (Phrases),Elle souris avec éclat en recevant la nouvelle.,She smiles brightly upon receiving the news.
Souris sous le soleil,Smile under the sun,/su.ʁi.su.lə.sɔ.lɛj/,Les Émotions - Emotions (Phrases),En vacances, souris sous le soleil.,On vacation, smile under the sun.
Souris aux inconnus,Smile at strangers,/su.ʁi.o.zɛ̃.kɔ.ny/,Les Émotions - Emotions (Phrases),Souris aux inconnus pour répandre la gentillesse.,Smile at strangers to spread kindness.
Souris en secret,Smile in secret,/su.ʁi.ɑ̃.sə.ɡʁɛ/,Les Émotions - Emotions (Phrases),Il souris en secret en pensant à son ami.,He smiles in secret thinking of his friend.
Souris avec douceur,Smile gently,/su.ʁi.a.vɛk.du.sœʁ/,Les Émotions - Emotions (Phrases),Souris avec douceur pour rassurer un enfant.,Smile gently to reassure a child.
Souris à l’avenir,Smile at the future,/su.ʁi.a.la.və.niʁ/,Les Émotions - Emotions (Phrases),Malgré les défis, souris à l’avenir.,Despite challenges, smile at the future.
