word,translation,pronunciation,category,example,exampleTranslation
le temps,time/weather,/lə tɑ̃/,Le Temps - Time,Le temps passe vite pendant la semaine.,Time passes quickly during the week.
la semaine,week,/la səˈmɛn/,Le Temps - Time,La semaine commence par un beau jour.,The week starts with a beautiful day.
le mois,month,/lə mwa/,Le Temps - Time,Chaque mois, nous planifions le jour des réunions.,Every month, we plan the day for meetings.
l’année,year,/laˈne/,Le Temps - Time,L’année dernière, le matin était frais.,Last year, the morning was cool.
le jour,day,/lə ʒuːʁ/,Le Temps - Time,La semaine commence par un beau jour.,The week starts with a beautiful day.
le matin,morning,/lə maˈtɛ̃/,Le Temps - Time,L’année dernière, le matin était frais.,Last year, the morning was cool.
l’après-midi,afternoon,/lapʁɛˈmidi/,Le Temps - Time,La nuit est calme après l’après-midi chargé.,The night is calm after a busy afternoon.
le soir,evening,/lə swaːʁ/,Le Temps - Time,Le soir, je vérifie l’heure pour me reposer.,In the evening, I check the time to rest.
Chante fort,Sing loudly,/ʃɑ̃t.fɔʁ/,Le Temps - Time (Phrases),Chante fort ce soir pour célébrer l’année.,Sing loudly this evening to celebrate the year.
Chante avec moi,Sing with me,/ʃɑ̃t.a.vɛk.mwa/,Le Temps - Time (Phrases),Chante avec moi pendant la nuit étoilée.,Sing with me during the starry night.
Chante une chanson,Sing a song,/ʃɑ̃t.yn.ʃɑ̃.sɔ̃/,Le Temps - Time (Phrases),Chante une chanson chaque matin.,Sing a song every morning.
Chante doucement,Sing softly,/ʃɑ̃t.dus.mɑ̃/,Le Temps - Time (Phrases),Chante doucement dans l’après-midi calme.,Sing softly in the calm afternoon.
Chante pour nous,Sing for us,/ʃɑ̃t.puʁ.nu/,Le Temps - Time (Phrases),Chante pour nous ce soir à la fête.,Sing for us this evening at the party.
Chante en chœur,Sing in chorus,/ʃɑ̃t.ɑ̃.kœʁ/,Le Temps - Time (Phrases),Chante en chœur pendant la semaine scolaire.,Sing in chorus during the school week.
Chante librement,Sing freely,/ʃɑ̃t.li.bʁə.mɑ̃/,Le Temps - Time (Phrases),Chante librement chaque jour de l’année.,Sing freely every day of the year.
Chante sous la pluie,Sing in the rain,/ʃɑ̃t.su.la.plɥi/,Le Temps - Time (Phrases),Chante sous la pluie ce matin d’automne.,Sing in the rain this autumn morning.
