word,translation,pronunciation,category,example,exampleTranslation
l’animal,animal,/laˈniˈmal/,Les Animaux - Animals  ,L’animal préféré des enfants est souvent le chien.,The favorite animal of children is often the dog.
le chien,dog,/lə ʃjɛ̃/,Les Animaux - Animals  ,L’animal préféré des enfants est souvent le chien.,The favorite animal of children is often the dog.
le chat,cat,/lə ʃa/,Les Animaux - Animals  ,Le chat dort près de l’oiseau en cage.,The cat sleeps near the bird in a cage.
l’oiseau,bird,/lwaˈzo/,Les Animaux - Animals  ,L’oiseau chante près de le chien dans le jardin.,The bird sings near the dog in the garden.
le poisson,fish,/lə pwaˈsɔ̃/,Les Animaux - Animals  ,Le poisson nage dans l’aquarium avec le cheval en peinture.,The fish swims in the aquarium with a horse in a painting.
le cheval,horse,/lə ʃəˈval/,Les Animaux - Animals  ,Le poisson nage dans l’aquarium avec le cheval en peinture.,The fish swims in the aquarium with a horse in a painting.
la vache,cow,/la vaʃ/,Les Animaux - Animals  ,La vache vit dans un champ loin du lion.,The cow lives in a field far from the lion.
le lion,lion,/lə ljɔ̃/,Les Animaux - Animals  ,La vache vit dans un champ loin du lion.,The cow lives in a field far from the lion.
Parle franchement,Speak frankly,/paʁl.fʁɑ̃ʃ.mɑ̃/,Les Animaux - Animals (Phrases),Parle franchement pour éviter les malentendus.,Speak frankly to avoid misunderstandings.
Parle doucement,Speak softly,/paʁl.dus.mɑ̃/,Les Animaux - Animals (Phrases),Avec les enfants, il faut parle doucement.,With children, you must speak softly.
Parle avec cœur,Speak with heart,/paʁl.a.vɛk.kœʁ/,Les Animaux - Animals (Phrases),Parle avec cœur pour toucher les autres.,Speak with heart to touch others.
Parle de toi,Speak about yourself,/paʁl.də.twa/,Les Animaux - Animals (Phrases),N’hésite pas à parle de toi à tes amis.,Don’t hesitate to speak about yourself to your friends.
Parle en secret,Speak in secret,/paʁl.ɑ̃.sə.ɡʁɛ/,Les Animaux - Animals (Phrases),Ils se réunissent pour parle en secret.,They meet to speak in secret.
Parle plus fort,Speak louder,/paʁl.ply.fɔʁ/,Les Animaux - Animals (Phrases),Dans une grande salle, il faut parle plus fort.,In a large hall, you must speak louder.
Parle sans crainte,Speak without fear,/paʁl.sɑ̃.kʁɛ̃t/,Les Animaux - Animals (Phrases),Parle sans crainte de ce que tu ressens.,Speak without fear about what you feel.
Parle d’amour,Speak of love,/paʁl.da.muʁ/,Les Animaux - Animals (Phrases),Il aime parle d’amour dans ses chansons.,He likes to speak of love in his songs.
