word,translation,pronunciation,category,example,exampleTranslation
la nourriture,food,/la nuʁiˈtyːʁ/,"La Nourriture - Food","La nourriture française inclut beaucoup de fromage.","French food includes a lot of cheese."
le pain,bread,/lə pɛ̃/,"La Nourriture - Food","Je mange du pain avec la soupe tous les soirs.","I eat bread with soup every evening."
le fromage,cheese,/lə fʁoˈmaːʒ/,"La Nourriture - Food","La nourriture française inclut beaucoup de fromage.","French food includes a lot of cheese."
la viande,meat,/la vjɑ̃d/,"La Nourriture - Food","La viande et le poisson sont servis avec le vin.","Meat and fish are served with wine."
le poisson,fish,/lə pwaˈsɔ̃/,"La Nourriture - Food","La viande et le poisson sont servis avec le vin.","Meat and fish are served with wine."
l'eau,water,/lo/,"La Nourriture - Food","L'eau est essentielle avec la nourriture épicée.","Water is essential with spicy food."
la pomme,apple,/la pɔm/,"La Nourriture - Food","Après le dîner, je bois le café et mange la pomme.","After dinner, I drink coffee and eat the apple."
la soupe,soup,/la sup/,"La Nourriture - Food","Je mange du pain avec la soupe tous les soirs.","I eat bread with soup every evening."
Fais vite,"Do it quickly",/fɛ.vit/,"La Nourriture - Food (Phrases)","Fais vite, le dîner est prêt.","Do it quickly, dinner is ready."
Fais attention,"Be careful",/fɛ.a.tɑ̃.sjɔ̃/,"La Nourriture - Food (Phrases)","Fais attention en coupant la viande.","Be careful when cutting the meat."
Fais un effort,"Make an effort",/fɛ.œ̃.nɛ.fɔʁ/,"La Nourriture - Food (Phrases)","Fais un effort pour goûter la soupe.","Make an effort to taste the soup."
Fais confiance,Trust,/fɛ.kɔ̃.fjɑ̃s/,"La Nourriture - Food (Phrases)","Fais confiance, ce fromage est délicieux.","Trust, this cheese is delicious."
Fais un choix,"Make a choice",/fɛ.œ̃.ʃwa/,"La Nourriture - Food (Phrases)","Fais un choix entre le poisson et la viande.","Make a choice between fish and meat."
Fais un dessin,"Draw a picture",/fɛ.œ̃.de.sɛ̃/,"La Nourriture - Food (Phrases)","Fais un dessin de la pomme pour le projet.","Draw a picture of the apple for the project."
Fais une pause,"Take a break",/fɛ.yn.pos/,"La Nourriture - Food (Phrases)","Fais une pause après avoir mangé la nourriture.","Take a break after eating the food."
Fais du sport,"Do some sports",/fɛ.dy.spɔʁ/,"La Nourriture - Food (Phrases)","Fais du sport avant de boire de l'eau.","Do some sports before drinking water."
