word,translation,pronunciation,category,example,exampleTranslation
la maison,house,/la mɛˈzɔ̃/,La Maison - House  ,La maison a une belle chambre avec la fenêtre.,The house has a beautiful bedroom with the window.
la chambre,bedroom,/la ʃɑ̃bʁ/,La Maison - House  ,La maison a une belle chambre avec la fenêtre.,The house has a beautiful bedroom with the window.
le salon,living room,/lə saˈlɔ̃/,La Maison - House  ,Le salon est près de la cuisine dans la maison.,The living room is near the kitchen in the house.
la cuisine,kitchen,/la kɥiˈzin/,La Maison - House  ,La cuisine a une grande table pour les repas.,The kitchen has a large table for meals.
la fenêtre,window,/la fəˈnɛːtʁ/,La Maison - House  ,La fenêtre éclaire le salon chaque matin.,The window lights up the living room every morning.
la porte,door,/la pɔʁt/,La Maison - House  ,La porte mène au jardin depuis la table.,The door leads to the garden from the table.
le jardin,garden,/lə ʒaʁˈdɛ̃/,La Maison - House  ,La porte mène au jardin depuis la table.,The door leads to the garden from the table.
la table,table,/la tabl/,La Maison - House  ,La cuisine a une grande table pour les repas.,The kitchen has a large table for meals.
Découvre le monde,Discover the world,/de.kuvʁ.lə.mɔ̃d/,La Maison - House (Phrases),Voyage et découvre le monde avec émerveillement.,Travel and discover the world with wonder.
Découvre tes forces,Discover your strengths,/de.kuvʁ.te.fɔʁs/,La Maison - House (Phrases),Dans les défis, découvre tes forces cachées.,In challenges, discover your hidden strengths.
Découvre en silence,Discover in silence,/de.kuvʁ.ɑ̃.si.lɑ̃s/,La Maison - House (Phrases),Parfois il faut découvre en silence pour comprendre.,Sometimes you must discover in silence to understand.
Découvre avec curiosité,Discover with curiosity,/de.kuvʁ.a.vɛk.ky.ʁjo.zi.te/,La Maison - House (Phrases),Toujours découvre avec curiosité et ouverture.,Always discover with curiosity and openness.
Découvre la nature,Discover nature,/de.kuvʁ.la.na.tyʁ/,La Maison - House (Phrases),Pars en randonnée et découvre la nature.,Go hiking and discover nature.
Découvre un trésor,Discover a treasure,/de.kuvʁ.œ̃.tʁe.zɔʁ/,La Maison - House (Phrases),L’enfant découvre un trésor dans le jardin.,The child discovers a treasure in the garden.
Découvre par toi-même,Discover by yourself,/de.kuvʁ.paʁ.twa.mɛm/,La Maison - House (Phrases),Il est important de découvre par toi-même la vérité.,It is important to discover the truth by yourself.
Découvre l’inattendu,Discover the unexpected,/de.kuvʁ.lɛ̃.na.tɑ̃.dy/,La Maison - House (Phrases),Voyager te permet de découvre l’inattendu.,Traveling allows you to discover the unexpected.
