word,translation,pronunciation,category,example,exampleTranslation
le travail,work,/lə tʁaˈvaj/,Le Travail - Work,Le travail dans le bureau est intense cette semaine.,Work in the office is intense this week.
le bureau,office,/lə byˈʁo/,Le Travail - Work,Le travail dans le bureau est intense cette semaine.,Work in the office is intense this week.
le collègue,colleague,/lə kɔˈlɛɡ/,Le Travail - Work,Le collègue organise la réunion pour discuter du projet.,The colleague organizes the meeting to discuss the project.
la réunion,meeting,/la ʁeyˈnjɔ̃/,Le Travail - Work,La réunion concerne le projet dans le bureau.,The meeting is about the project in the office.
le projet,project,/lə pʁoˈʒɛ/,Le Travail - Work,Le collègue organise la réunion pour discuter du projet.,The colleague organizes the meeting to discuss the project.
l’emploi,job,/lɑ̃ˈplwa/,Le Travail - Work,L’emploi offre un bon salaire pour une longue carrière.,The job offers a good salary for a long career.
le salaire,salary,/lə saˈlɛːʁ/,Le Travail - Work,L’emploi offre un bon salaire pour une longue carrière.,The job offers a good salary for a long career.
la carrière,career,/la kaˈʁjɛːʁ/,Le Travail - Work,Le salaire soutient la carrière de mon collègue.,The salary supports my colleague’s career.
Suis ton chemin,Follow your path,/sɥi.tɔ̃.ʃə.mɛ̃/,Le Travail - Work (Phrases),Suis ton chemin pour réussir dans ta carrière.,Follow your path to succeed in your career.
Suis la lumière,Follow the light,/sɥi.la.ly.mjɛʁ/,Le Travail - Work (Phrases),Suis la lumière pour trouver des idées au bureau.,Follow the light to find ideas in the office.
Suis tes instincts,Follow your instincts,/sɥi.tez.ɛ̃s.tɛ̃/,Le Travail - Work (Phrases),Suis tes instincts lors de la réunion.,Follow your instincts during the meeting.
Suis le courant,Follow the flow,/sɥi.lə.ku.ʁɑ̃/,Le Travail - Work (Phrases),Suis le courant pour gérer le projet.,Follow the flow to manage the project.
Suis ton étoile,Follow your star,/sɥi.tɔ̃.e.twal/,Le Travail - Work (Phrases),Suis ton étoile pour avancer dans l’emploi.,Follow your star to progress in the job.
Suis la foule,Follow the crowd,/sɥi.la.ful/,Le Travail - Work (Phrases),Suis la foule pour découvrir le travail d’équipe.,Follow the crowd to discover teamwork.
Suis tes rêves,Follow your dreams,/sɥi.te.ʁɛv/,Le Travail - Work (Phrases),Suis tes rêves pour bâtir une carrière.,Follow your dreams to build a career.
Suis l’horizon,Follow the horizon,/sɥi.lɔ.ʁi.zɔ̃/,Le Travail - Work (Phrases),Suis l’horizon pour planifier le projet.,Follow the horizon to plan the project.
