word,translation,pronunciation,category,example,exampleTranslation
la santé,health,/la sɑ̃ˈte/,La Santé - Health,La santé dépend de la nourriture et de l’exercice.,Health depends on food and exercise.
le médecin,doctor,/lə medˈsɛ̃/,La Santé - Health,Le médecin travaille à l’hôpital pour soigner la maladie.,The doctor works at the hospital to treat the illness.
l’hôpital,hospital,/lopiˈtal/,La Santé - Health,Le médecin travaille à l’hôpital pour soigner la maladie.,The doctor works at the hospital to treat the illness.
la maladie,illness,/la maˈladi/,La Santé - Health,La nourriture saine aide à éviter la maladie.,Healthy food helps avoid illness.
le médicament,medicine,/lə mediˈkamɑ̃/,La Santé - Health,Je prends le médicament avec l’eau chaque matin.,I take the medicine with water every morning.
l’exercice,exercise,/lɛɡzɛʁˈsis/,La Santé - Health,La santé dépend de la nourriture et de l’exercice.,Health depends on food and exercise.
le sommeil,sleep,/lə sɔˈmɛj/,La Santé - Health,Le sommeil est essentiel pour le corps.,Sleep is essential for the body.
le corps,body,/lə kɔːʁ/,La Santé - Health,Le sommeil est essentiel pour le corps.,Sleep is essential for the body.
Rêve grand,Dream big,/ʁɛv.ɡʁɑ̃/,La Santé - Health (Phrases),Rêve grand pour une meilleure santé.,Dream big for better health.
Rêve en couleur,Dream in color,/ʁɛv.ɑ̃.ku.lœʁ/,La Santé - Health (Phrases),Rêve en couleur pendant le sommeil.,Dream in color during sleep.
Rêve éveillé,Daydream,/ʁɛv.e.ve.je/,La Santé - Health (Phrases),Rêve éveillé en buvant de l’eau au parc.,Daydream while drinking water at the park.
Rêve de liberté,Dream of freedom,/ʁɛv.də.li.bɛʁ.te/,La Santé - Health (Phrases),Rêve de liberté pour un corps sain.,Dream of freedom for a healthy body.
Rêve d’aventure,Dream of adventure,/ʁɛv.da.vɑ̃.tyʁ/,La Santé - Health (Phrases),Rêve d’aventure en faisant de l’exercice.,Dream of adventure while exercising.
Rêve toujours,Always dream,/ʁɛv.tu.ʒuʁ/,La Santé - Health (Phrases),Rêve toujours d’une bonne santé.,Always dream of good health.
Rêve à voix haute,Dream out loud,/ʁɛv.a.vwa.ot/,La Santé - Health (Phrases),Rêve à voix haute avec le médecin.,Dream out loud with the doctor.
Rêve d’un monde,Dream of a world,/ʁɛv.dœ̃.mɔ̃d/,La Santé - Health (Phrases),Rêve d’un monde sans maladie.,Dream of a world without illness.
