word,translation,pronunciation,category,example,exampleTranslation
la plante,plant,/la plɑ̃t/,Les Plantes - Plants  ,La plante dans le jardin a une belle fleur.,The plant in the garden has a beautiful flower.
la fleur,flower,/la flœːʁ/,Les Plantes - Plants  ,La plante dans le jardin a une belle fleur.,The plant in the garden has a beautiful flower.
l’arbre,tree,/laʁbʁ/,Les Plantes - Plants  ,L’arbre pousse avec la racine profonde et l’herbe autour.,The tree grows with deep roots and grass around.
l’herbe,grass,/lɛʁb/,Les Plantes - Plants  ,L’arbre pousse avec la racine profonde et l’herbe autour.,The tree grows with deep roots and grass around.
la feuille,leaf,/la fœj/,Les Plantes - Plants  ,La feuille sur la tige est verte et brillante.,The leaf on the stem is green and shiny.
la racine,root,/la ʁaˈsin/,Les Plantes - Plants  ,L’arbre pousse avec la racine profonde et l’herbe autour.,The tree grows with deep roots and grass around.
la tige,stem,/la tiʒ/,Les Plantes - Plants  ,La feuille sur la tige est verte et brillante.,The leaf on the stem is green and shiny.
le fruit,fruit,/lə fʁɥi/,Les Plantes - Plants  ,Le fruit tombe de l’arbre près de la plante.,The fruit falls from the tree near the plant.
Respire profondément,Breathe deeply,/ʁɛs.piʁ.pʁɔ.fɔ̃.de.mɑ̃/,Les Plantes - Plants (Phrases),Chaque matin, respire profondément pour commencer la journée.,Every morning, breathe deeply to start the day.
Respire la liberté,Breathe freedom,/ʁɛs.piʁ.la.li.bɛʁ.te/,Les Plantes - Plants (Phrases),Sur la montagne, respire la liberté.,On the mountain, breathe freedom.
Respire avec calme,Breathe calmly,/ʁɛs.piʁ.a.vɛk.kalm/,Les Plantes - Plants (Phrases),Dans les moments difficiles, respire avec calme.,In difficult moments, breathe calmly.
Respire l’air pur,Breathe fresh air,/ʁɛs.piʁ.lɛʁ.pyʁ/,Les Plantes - Plants (Phrases),Au bord de la mer, respire l’air pur.,By the sea, breathe fresh air.
Respire en paix,Breathe in peace,/ʁɛs.piʁ.ɑ̃.pɛ/,Les Plantes - Plants (Phrases),Sous les étoiles, respire en paix.,Under the stars, breathe in peace.
Respire sous le ciel,Breathe under the sky,/ʁɛs.piʁ.su.lə.sjɛl/,Les Plantes - Plants (Phrases),Respire sous le ciel bleu d’été.,Breathe under the blue summer sky.
Respire à pleins poumons,Breathe with full lungs,/ʁɛs.piʁ.a.plɛ̃.pu.mɔ̃/,Les Plantes - Plants (Phrases),Après la course, respire à pleins poumons.,After running, breathe with full lungs.
Respire la fraîcheur,Breathe the freshness,/ʁɛs.piʁ.la.fʁɛ.ʃœʁ/,Les Plantes - Plants (Phrases),Respire la fraîcheur du matin.,Breathe the freshness of the morning.
