word,translation,pronunciation,category,example,exampleTranslation
la fête,holiday,/la fɛt/,Les Fêtes - Holidays  ,La fête de Noël inclut le sapin décoré.,The Christmas holiday includes the decorated Christmas tree.
le cadeau,gift,/lə kaˈdo/,Les Fêtes - Holidays  ,J’offre le cadeau pour l’anniversaire dans la célébration.,I give the gift for the birthday during the celebration.
l’anniversaire,birthday,/laniˈvɛʁsɛːʁ/,Les Fêtes - Holidays  ,J’offre le cadeau pour l’anniversaire dans la célébration.,I give the gift for the birthday during the celebration.
Noël,Christmas,/noˈɛl/,Les Fêtes - Holidays  ,La fête de Noël inclut le sapin décoré.,The Christmas holiday includes the decorated Christmas tree.
le sapin,Christmas tree,/lə saˈpɛ̃/,Les Fêtes - Holidays  ,Le sapin est au centre de Noël.,The Christmas tree is at the center of Christmas.
la décoration,decoration,/la dekɔʁaˈsjɔ̃/,Les Fêtes - Holidays  ,La décoration illumine la fête avec le feu d’artifice.,The decoration lights up the holiday with the firework.
le feu d’artifice,firework,/lə fø daʁtiˈfis/,Les Fêtes - Holidays  ,La décoration illumine la fête avec le feu d’artifice.,The decoration lights up the holiday with the firework.
la célébration,celebration,/la selebʁaˈsjɔ̃/,Les Fêtes - Holidays  ,La célébration commence avec le cadeau sous le sapin.,The celebration begins with the gift under the Christmas tree.
Inspire les autres,Inspire others,/ɛ̃s.piʁ.lez.o.tʁə/,Les Fêtes - Holidays (Phrases),Inspire les autres par tes actions positives.,Inspire others through your positive actions.
Inspire avec force,Inspire with strength,/ɛ̃s.piʁ.a.vɛk.fɔʁs/,Les Fêtes - Holidays (Phrases),Inspire avec force ceux qui doutent.,Inspire with strength those who doubt.
Inspire par l’exemple,Inspire by example,/ɛ̃s.piʁ.paʁ.lɛɡ.zɑ̃pl/,Les Fêtes - Holidays (Phrases),Toujours inspire par l’exemple plutôt que par les mots.,Always inspire by example rather than words.
Inspire un changement,Inspire a change,/ɛ̃s.piʁ.œ̃.ʃɑ̃ʒ.mɑ̃/,Les Fêtes - Holidays (Phrases),Inspire un changement dans ta communauté.,Inspire a change in your community.
Inspire la créativité,Inspire creativity,/ɛ̃s.piʁ.la.kʁe.a.ti.vi.te/,Les Fêtes - Holidays (Phrases),Inspire la créativité chez les jeunes.,Inspire creativity in young people.
Inspire en douceur,Inspire gently,/ɛ̃s.piʁ.ɑ̃.du.sœʁ/,Les Fêtes - Holidays (Phrases),Inspire en douceur pour apaiser les cœurs.,Inspire gently to soothe hearts.
Inspire sans mots,Inspire without words,/ɛ̃s.piʁ.sɑ̃.mo/,Les Fêtes - Holidays (Phrases),Parfois tu peux inspire sans mots.,Sometimes you can inspire without words.
Inspire par ta lumière,Inspire with your light,/ɛ̃s.piʁ.paʁ.ta.ly.mjɛʁ/,Les Fêtes - Holidays (Phrases),Inspire par ta lumière ceux qui t’entourent.,Inspire with your light those around you.
