word,translation,pronunciation,category,example,exampleTranslation
la cuisine,kitchen,/la kɥiˈzin/,La Cuisine - Kitchen  ,Dans la cuisine, je prends le couteau pour couper.,In the kitchen, I take the knife to cut.
le couteau,knife,/lə kuˈto/,La Cuisine - Kitchen  ,La fourchette et le couteau sont sur l’assiette.,The fork and knife are on the plate.
la cuillère,spoon,/la kɥiˈjɛːʁ/,La Cuisine - Kitchen  ,La cuillère est sur l’assiette près de la fourchette.,The spoon is on the plate next to the fork.
la fourchette,fork,/la fuʁˈʃɛt/,La Cuisine - Kitchen  ,La cuillère est sur l’assiette près de la fourchette.,The spoon is on the plate next to the fork.
la poêle,frying pan,/la pwal/,La Cuisine - Kitchen  ,J’utilise la poêle dans le four pour cuisiner.,I use the frying pan in the oven to cook.
le four,oven,/lə fuːʁ/,La Cuisine - Kitchen  ,J’utilise la poêle dans le four pour cuisiner.,I use the frying pan in the oven to cook.
l’assiette,plate,/laˈsjɛt/,La Cuisine - Kitchen  ,La fourchette et le couteau sont sur l’assiette.,The fork and knife are on the plate.
le verre,glass,/lə vɛːʁ/,La Cuisine - Kitchen  ,Le verre d’eau est posé dans la cuisine.,The glass of water is placed in the kitchen.
Marche lentement,Walk slowly,/maʁʃ.lɑ̃t.mɑ̃/,La Cuisine (Phrases),Marche lentement pour profiter du paysage.,Walk slowly to enjoy the scenery.
Marche vers l’avant,Walk forward,/maʁʃ.vɛʁ.lɑ.vɑ̃/,La Cuisine (Phrases),Même après un échec, marche vers l’avant.,Even after a failure, walk forward.
Marche sous la lune,Walk under the moon,/maʁʃ.su.la lyn/,La Cuisine (Phrases),Ils aiment marche sous la lune le soir.,They like to walk under the moon at night.
Marche avec confiance,Walk with confidence,/maʁʃ.a.vɛk.kɔ̃.fjɑ̃s/,La Cuisine (Phrases),Marche avec confiance vers tes rêves.,Walk with confidence toward your dreams.
Marche dans la forêt,Walk in the forest,/maʁʃ.dɑ̃.la.fɔ.ʁɛ/,La Cuisine (Phrases),Nous allons marche dans la forêt au printemps.,We are going to walk in the forest in spring.
Marche pieds nus,Walk barefoot,/maʁʃ.pje.ny/,La Cuisine (Phrases),Elle aime marche pieds nus sur la plage.,She likes to walk barefoot on the beach.
Marche en chantant,Walk while singing,/maʁʃ.ɑ̃.ʃɑ̃.tɑ̃/,La Cuisine (Phrases),Il marche en chantant une belle mélodie.,He walks while singing a beautiful melody.
Marche vers le sommet,Walk toward the summit,/maʁʃ.vɛʁ.lə.sɔ.mɛ/,La Cuisine (Phrases),Les alpinistes marche vers le sommet de la montagne.,The climbers walk toward the summit of the mountain.
